File_Name,Charge,Y_value,M,Vibration mode,Displacement,Chemicals_1,Chemicals_2,Chemicals_3,Chemicals_4,Chemicals_5,Chemicals_6,Chemicals_7
Ag2_-1_01_1_-0.3.dat,-1,89.25,01,1,-0.3,"['Ag', '0.000000', '0.000000', '1.169183']","['Ag', '0.000000', '0.000000', '-1.169183']",,,,,
Ag2_-1_01_1_-0.4.dat,-1,104.82,01,1,-0.4,"['Ag', '0.000000', '0.000000', '1.098183']","['Ag', '0.000000', '0.000000', '-1.098183']",,,,,
Ag2_-1_01_1_-0.5.dat,-1,135.72,01,1,-0.5,"['Ag', '0.000000', '0.000000', '1.027183']","['Ag', '0.000000', '0.000000', '-1.027183']",,,,,
Ag2_-1_01_1_-0.7.dat,-1,302.38,01,1,-0.7,"['Ag', '0.000000', '0.000000', '0.885183']","['Ag', '0.000000', '0.000000', '-0.885183']",,,,,
Ag2_-1_01_1_0.3.dat,-1,84.39,01,1,0.3,"['Ag', '0.000000', '0.000000', '1.595183']","['Ag', '0.000000', '0.000000', '-1.595183']",,,,,
Ag2_-1_01_1_0.4.dat,-1,86.49,01,1,0.4,"['Ag', '0.000000', '0.000000', '1.666183']","['Ag', '0.000000', '0.000000', '-1.666183']",,,,,
Ag2_-1_01_1_1.dat,-1,96.74,01,1,1,"['Ag', '0.000000', '0.000000', '2.092183']","['Ag', '0.000000', '0.000000', '-2.092183']",,,,,
Ag2_-1_01_eq.dat,-1,79.39,01,1,0,"['Ag', '0.000000', '0.000000', '1.382183']","['Ag', '0.000000', '0.000000', '-1.382183']",,,,,
Ag2_0_01_1_-0.3.dat,0 ,123.26,01,1,-0.3,"['Ag', '0.000000', '0.000000', '1.086305']","['Ag', '0.000000', '0.000000', '-1.086305']",,,,,
Ag2_0_01_1_-0.4.dat,0 ,155.72,01,1,-0.4,"['Ag', '0.000000', '0.000000', '1.015305']","['Ag', '0.000000', '0.000000', '-1.015305']",,,,,
Ag2_0_01_1_-0.5.dat,0 ,218.69,01,1,-0.5,"['Ag', '0.000000', '0.000000', '0.944305']","['Ag', '0.000000', '0.000000', '-0.944305']",,,,,
Ag2_0_01_1_0.3.dat,0 ,109.13,01,1,0.3,"['Ag', '0.000000', '0.000000', '1.512305']","['Ag', '0.000000', '0.000000', '-1.512305']",,,,,
Ag2_0_01_1_0.4.dat,0 ,113.04,01,1,0.4,"['Ag', '0.000000', '0.000000', '1.583305']","['Ag', '0.000000', '0.000000', '-1.583305']",,,,,
Ag2_0_01_1_0.5.dat,0 ,116.84,01,1,0.5,"['Ag', '0.000000', '0.000000', '1.654305']","['Ag', '0.000000', '0.000000', '-1.654305']",,,,,
Ag2_0_01_1_0.8.dat,0,126.38,01,1,0.8,"['Ag', '0.000000', '0.000000', '1.867305']","['Ag', '0.000000', '0.000000', '-1.867305']",,,,,
Ag2_0_01_1_1.dat,0,130.72,01,1,1,"['Ag', '0.000000', '0.000000', '2.009305']","['Ag', '0.000000', '0.000000', '-2.009305']",,,,,
Ag2_0_01_eq.dat,0 ,100.60,01,1,0,"['Ag', '0.000000', '0.000000', '1.299305']","['Ag', '0.000000', '0.000000', '-1.299305']",,,,,
