y_true,y_pred
120.39,138.2
79.52,95.63
275.53,285.44
154.06,154.23
154.06,157.5
156.48,154.58
156.48,159.77
161.12,158.57
161.12,164.3
168.9,183.27
168.9,185.12
181.24,193.15
181.24,196.59
185.46,171.8
282.79,280.45
101.18,121.74
177.73,191.33
187.31,218.76
180.69,176.84
145.27,148.54
147.03,148.25
326.98,329.54
325.61,339.0
330.71,326.99
329.62,347.0
148.43,152.39
336.0,349.46
338.72,367.56
342.8,368.61
355.39,387.33
351.35,374.18
383.35,404.01
144.63,158.04
146.66,146.09
143.59,153.32
141.23,165.8
141.23,163.59
141.46,166.94
141.46,162.49
141.85,168.08
141.85,161.4
142.42,169.46
142.42,160.3
143.18,170.97
143.18,159.21
141.16,163.72
141.61,157.44
141.83,167.21
142.39,140.95
143.47,164.91
143.4,141.68
146.52,168.91
144.59,142.37
151.65,173.06
145.91,148.21
141.38,155.01
141.38,152.55
142.04,159.5
142.04,154.93
143.09,158.44
143.09,151.95
144.53,159.92
144.53,165.59
146.31,161.29
146.31,167.92
141.6,154.77
141.6,151.1
142.98,156.05
142.98,150.33
145.5,157.97
145.5,149.81
149.48,156.08
149.48,150.04
155.43,160.18
155.43,155.32
143.06,131.96
140.74,158.94
145.97,133.41
142.46,161.57
149.57,130.77
147.19,173.1
153.6,158.99
156.18,186.66
157.89,160.96
171.12,203.01
141.97,150.89
141.97,150.16
144.5,152.32
144.5,151.13
149.02,163.37
149.02,165.44
156.05,172.59
156.05,176.02
166.3,181.33
166.3,187.07
141.16,164.7
208.94,211.32
209.22,205.47
208.18,207.13
209.08,205.66
221.14,223.13
339.13,349.68
163.99,175.77
163.99,172.7
164.76,177.34
164.76,173.73
343.13,356.77
166.27,181.13
166.27,174.86
168.86,185.35
168.86,176.17
173.12,192.59
173.12,181.24
352.22,376.59
351.97,384.82
382.88,419.71
169.36,168.27
170.0,167.21
173.17,174.75
180.09,189.47
186.4,208.78
167.31,192.15
167.31,188.13
167.75,196.23
167.75,189.14
168.86,199.08
168.86,187.82
170.74,199.61
170.74,184.07
167.93,186.45
167.93,184.34
169.45,189.67
169.45,184.01
172.7,180.3
172.7,183.98
177.67,180.96
177.67,188.22
170.18,185.75
170.18,187.27
178.89,196.0
178.89,196.87
211.44,206.75
211.44,211.29
307.81,226.91
307.81,235.2
173.02,206.87
174.41,168.82
191.46,229.47
182.65,188.81
244.48,258.15
355.09,295.25
206.79,237.92
169.56,187.49
169.56,187.03
178.1,207.8
178.1,201.51
206.42,224.51
206.42,218.54
304.66,252.31
304.66,246.83
170.86,184.24
169.52,193.81
184.04,207.36
178.52,206.99
233.64,222.67
208.25,239.17
316.03,286.35
167.1,187.67
224.2,230.25
224.2,230.18
224.77,232.28
224.77,231.13
226.0,235.98
226.0,231.82
230.13,245.34
263.33,301.97
228.84,233.23
231.05,245.03
231.75,247.5
229.09,236.89
230.71,261.36
233.02,245.57
236.83,284.61
239.84,248.52
258.42,313.51
248.93,243.31
274.48,284.61
252.3,250.94
251.6,242.08
251.43,242.92
250.94,244.52
348.24,302.1
312.54,321.65
380.06,367.28
452.61,457.35
389.54,405.55
208.86,194.24
208.86,186.21
379.55,368.4
382.65,369.58
256.26,242.22
440.29,464.71
200.48,193.87
378.45,378.76
378.45,378.78
383.8,384.29
383.8,382.12
397.17,413.42
397.16,401.82
528.49,444.98
528.44,459.97
396.19,397.5
389.41,405.96
204.42,200.26
204.44,200.13
215.48,220.37
215.52,227.99
246.43,252.95
246.44,268.54
389.83,382.48
389.26,386.65
393.09,376.65
389.62,389.28
378.78,385.44
384.57,435.07
203.76,194.97
378.17,380.94
381.04,393.56
403.66,412.84
378.44,381.18
216.56,250.74
390.43,386.68
390.43,384.9
390.92,390.8
390.92,386.33
391.97,394.74
391.97,387.42
397.88,406.94
397.88,397.93
195.11,186.83
237.19,264.73
271.42,268.39
271.42,269.23
271.63,269.82
271.63,269.88
272.14,271.11
272.14,270.44
275.44,273.77
275.44,268.71
271.15,278.17
273.32,269.82
265.48,287.25
258.7,254.1
274.59,266.05
254.68,242.7
254.68,240.65
259.96,249.79
259.98,244.92
273.76,263.68
274.28,253.94
420.02,346.85
466.26,340.54
254.33,242.5
274.04,267.94
271.16,261.63
275.6,266.72
271.99,279.33
257.8,256.27
269.62,267.14
271.32,265.61
384.75,375.34
229.44,228.19
225.98,246.04
237.15,254.74
236.83,260.45
262.23,280.06
316.82,319.52
290.68,311.34
513.42,499.03
233.78,263.92
233.78,254.6
257.47,295.65
257.47,288.18
238.0,259.13
235.15,255.38
273.62,315.99
261.0,275.72
222.65,220.72
222.65,225.39
222.61,220.32
222.61,226.75
224.33,233.21
224.33,226.7
236.24,235.21
236.24,234.7
385.65,370.2
385.65,364.74
391.41,380.67
391.29,371.12
456.14,399.83
451.24,382.79
224.38,243.57
223.75,227.14
226.52,251.92
226.16,224.58
234.6,263.53
238.43,247.26
247.16,283.3
256.08,274.9
225.97,247.32
225.97,237.0
232.35,263.54
232.35,244.61
275.8,298.56
275.8,282.7
420.77,503.24
416.21,346.04
416.21,332.28
222.78,220.67
404.35,434.0
216.06,235.5
210.39,220.26
393.87,409.63
214.47,214.53
389.49,388.01
394.33,393.41
224.14,228.2
224.14,237.37
227.29,236.0
227.29,243.23
245.96,255.07
245.96,264.23
292.4,286.76
292.4,303.58
