y_true,y_pred
309.66,333.46
392.57,397.05
269.58,265.86
222.7,224.6
277.61,285.36
377.8,319.95
204.54,187.36
232.47,222.44
277.89,267.28
202.04,192.38
385.41,379.28
102.58,120.32
192.56,211.3
361.19,376.81
201.3,188.66
273.12,271.22
285.37,297.56
278.99,285.83
316.03,318.26
145.27,150.14
399.97,415.49
306.27,322.57
330.52,341.39
194.91,195.14
381.32,369.86
217.62,214.35
400.8,414.8
269.42,259.49
178.2,192.93
408.03,392.86
261.56,224.7
251.49,238.69
225.86,227.73
336.74,350.92
192.48,212.13
269.84,274.3
277.62,283.51
325.49,321.13
204.53,201.42
259.97,237.33
382.1,393.23
342.35,274.17
386.38,396.78
200.25,202.8
353.59,330.59
401.05,398.94
441.07,447.45
326.72,352.04
222.7,225.56
211.7,217.21
300.23,307.42
170.75,176.7
177.75,184.12
420.11,330.13
388.48,396.12
389.62,377.99
392.8,383.51
210.78,209.17
432.38,379.18
205.37,197.97
326.26,327.6
345.73,341.03
287.58,324.06
231.55,247.53
260.34,285.3
390.68,389.61
273.99,322.24
391.0,394.97
181.94,184.66
207.81,208.0
392.19,387.24
288.35,316.47
264.97,270.2
213.92,215.05
239.34,268.62
177.03,186.71
145.51,147.62
270.29,263.34
202.77,210.63
210.72,201.03
208.59,208.43
366.38,394.79
184.99,180.44
258.53,255.09
213.44,224.96
440.32,459.7
227.0,243.48
293.09,321.54
277.66,273.82
343.5,360.07
231.55,243.12
161.61,183.27
224.47,227.68
205.84,213.18
426.11,451.96
219.24,230.36
379.12,376.26
232.79,259.76
204.24,180.43
248.97,237.25
217.79,201.79
153.37,156.03
401.68,396.09
323.21,303.49
411.34,437.0
355.19,358.62
265.26,256.83
106.56,113.71
331.83,317.84
102.58,113.67
381.64,358.75
232.81,232.13
192.32,194.74
210.57,203.57
111.07,121.87
180.68,190.56
277.7,270.42
360.42,370.24
199.66,190.09
194.69,182.01
206.93,194.24
281.02,263.66
279.29,279.38
231.77,234.95
309.37,304.98
260.74,254.18
439.04,457.37
258.54,242.05
357.54,350.63
293.71,308.02
273.17,269.53
206.74,196.57
311.19,314.09
510.38,456.51
324.49,260.0
508.04,430.94
149.73,129.07
319.93,325.28
130.72,137.42
238.39,243.72
609.83,423.27
166.51,146.79
194.98,174.79
251.63,247.14
194.68,192.01
482.89,493.31
197.21,190.1
259.76,297.56
325.44,307.13
323.55,325.81
271.61,256.53
163.75,179.1
282.99,274.33
378.1,357.2
344.83,327.6
173.37,170.06
607.9,552.65
203.59,204.32
390.32,387.26
236.92,243.82
352.23,359.88
458.36,384.47
213.84,218.89
221.48,235.55
156.28,175.92
433.05,383.95
200.64,191.08
203.4,194.52
436.21,345.14
383.67,406.12
139.65,128.53
295.51,250.58
271.13,275.18
351.22,382.15
211.72,222.76
383.55,417.92
427.86,414.94
146.81,153.18
274.13,303.11
269.28,319.16
254.38,264.5
128.4,145.45
169.39,181.52
209.56,234.38
194.31,283.13
184.53,198.32
201.79,213.63
212.55,240.82
127.91,132.39
212.09,239.66
235.8,286.88
269.62,290.8
204.39,238.54
327.68,378.47
218.01,258.5
257.65,288.07
340.35,382.88
344.18,406.65
258.03,281.21
379.58,405.32
284.02,308.8
380.22,434.62
379.4,412.86
254.84,301.8
211.16,245.8
227.2,267.5
361.34,389.94
190.64,229.96
231.75,270.66
227.16,254.86
237.29,298.65
203.59,221.39
201.0,205.68
114.74,163.66
381.98,445.42
404.81,446.44
200.45,194.26
310.14,295.32
252.31,243.84
183.12,194.21
377.97,369.21
149.77,150.15
377.93,387.93
256.93,241.08
263.57,270.52
512.76,462.94
216.65,179.26
584.97,525.23
180.89,206.9
406.81,404.26
215.75,192.21
287.46,295.0
401.17,401.33
269.64,246.08
204.07,174.11
204.23,196.32
217.65,187.66
198.52,201.8
389.83,351.3
441.35,439.32
288.25,244.65
255.01,258.23
391.03,373.94
221.11,203.89
392.62,342.59
270.02,269.89
239.8,205.98
257.65,231.74
289.61,272.8
208.46,187.4
212.54,209.04
235.54,228.44
396.88,374.8
232.37,209.85
202.14,178.54
325.79,288.76
199.26,163.28
272.38,257.11
280.17,274.93
175.51,176.71
403.93,371.24
399.16,381.29
385.87,367.7
389.24,341.43
123.26,141.26
395.14,383.97
237.61,236.9
155.86,149.24
204.02,172.18
240.72,249.33
185.39,145.42
290.24,296.8
251.38,215.49
273.8,244.02
247.94,279.21
241.9,228.75
241.2,236.94
381.07,356.02
422.81,357.48
365.5,362.29
197.64,175.49
281.21,263.54
186.74,177.22
251.41,220.33
458.44,406.31
240.24,228.59
239.71,220.04
212.55,195.65
400.44,402.59
231.77,241.23
249.95,237.19
619.09,512.09
258.54,264.58
262.1,212.42
392.54,400.88
408.28,437.04
350.58,331.56
406.6,388.61
254.09,237.01
154.23,137.81
391.73,425.09
201.46,211.59
465.21,478.68
401.47,406.12
162.5,187.93
205.79,249.44
248.55,228.88
246.93,260.93
190.78,215.16
260.47,264.41
186.04,190.82
196.64,189.72
256.26,249.31
296.06,290.35
146.81,158.02
226.09,255.19
153.31,162.32
252.25,272.29
430.55,455.58
296.79,352.28
388.52,423.19
237.55,271.54
410.78,491.76
322.74,294.94
290.31,370.67
263.65,291.42
238.56,248.86
421.12,500.22
176.19,198.06
390.62,408.43
210.48,238.4
212.22,235.22
197.44,211.21
379.89,416.59
391.21,430.6
361.15,411.28
390.47,400.49
272.05,268.86
350.43,367.04
271.81,240.32
215.66,220.69
250.96,276.63
260.04,256.4
135.59,124.16
225.16,273.87
210.95,243.26
247.14,236.99
214.21,214.72
377.8,315.84
241.86,268.99
380.06,361.04
421.09,442.22
240.45,200.26
212.59,247.63
339.91,336.45
202.88,221.46
210.32,204.41
377.83,366.72
254.69,229.98
257.97,247.56
146.35,148.83
391.45,378.22
256.93,232.23
240.26,228.67
227.66,239.95
212.03,199.88
181.57,167.64
195.41,176.63
405.14,416.69
178.8,196.9
377.89,352.72
206.11,189.39
167.42,168.48
207.08,183.21
424.09,416.69
332.38,339.87
269.41,239.07
199.68,170.63
347.83,261.28
