y_true,y_pred
323.46,252.2
123.26,181.06
271.13,241.28
290.24,263.47
105.36,151.77
114.96,156.05
308.66,234.15
309.66,306.06
284.94,260.12
149.77,174.26
203.23,234.75
112.23,154.25
135.59,148.76
124.35,151.7
154.55,136.24
156.28,160.92
298.06,246.68
101.08,148.98
327.54,273.03
154.1,135.4
185.39,248.11
329.67,293.63
145.65,169.55
332.31,303.48
192.04,269.94
192.48,213.46
155.19,163.89
326.72,292.25
248.55,183.43
198.87,183.9
177.03,235.46
192.33,253.56
322.13,302.95
188.18,174.5
180.72,220.6
186.74,219.46
148.43,176.32
186.04,233.5
344.18,325.8
149.77,168.43
329.67,272.8
146.24,180.94
177.1,248.66
230.01,180.6
144.27,182.51
326.72,272.77
392.31,336.41
327.35,301.76
274.48,235.9
392.31,284.55
331.83,270.81
329.58,293.25
145.65,172.22
174.74,184.52
207.43,227.04
321.54,296.23
180.42,257.21
162.41,165.64
153.37,182.51
145.27,169.67
145.51,168.88
144.67,181.23
333.68,304.96
339.01,269.89
144.27,180.02
352.61,304.44
174.6,193.61
238.39,225.84
339.56,320.08
350.43,324.52
167.7,195.82
345.73,353.41
210.38,254.74
181.05,221.28
175.98,217.49
167.27,206.25
373.3,359.52
358.89,359.37
224.27,251.95
356.57,269.52
347.12,331.9
169.39,205.92
348.79,336.95
165.88,208.88
217.65,254.6
458.4,311.29
218.04,257.19
192.34,226.92
346.51,321.27
179.37,217.71
186.6,213.96
180.09,200.98
346.06,303.92
181.42,212.54
176.9,193.35
164.48,205.33
165.88,204.81
216.1,244.24
174.85,207.65
178.0,207.32
251.26,282.68
245.16,274.42
208.49,246.9
361.19,293.8
216.1,240.31
169.36,204.41
351.21,340.12
220.48,250.16
198.52,196.04
339.88,318.89
387.38,317.6
174.75,212.55
212.93,255.89
172.71,210.41
420.11,284.03
216.87,270.09
432.04,309.05
427.86,325.95
165.07,205.06
351.88,325.2
339.88,321.08
216.1,280.67
340.39,326.89
226.68,262.01
348.79,332.87
347.74,275.33
211.7,227.49
209.71,238.86
231.18,281.62
406.23,336.67
211.16,233.98
377.93,391.04
229.45,226.42
199.8,270.82
210.78,237.39
203.4,234.45
235.17,296.67
379.13,408.0
206.99,235.99
277.7,296.19
396.31,361.25
204.07,224.65
401.68,358.72
474.5,347.44
197.82,231.64
208.59,254.45
257.75,282.48
261.6,263.17
194.69,232.09
253.82,256.79
205.61,245.01
202.24,225.1
205.68,228.43
383.34,325.41
212.91,256.87
204.7,270.67
209.22,255.22
206.51,244.79
199.26,249.45
242.99,260.73
203.45,228.01
196.64,257.56
241.9,304.62
233.0,289.59
197.58,242.57
401.3,379.71
220.87,239.24
395.25,326.73
247.39,229.18
260.01,297.66
332.0,318.28
197.49,231.44
233.02,279.61
260.56,297.61
435.69,351.86
233.93,221.49
247.9,287.07
201.1,228.57
240.72,306.06
336.08,326.78
337.58,267.22
228.67,285.54
201.46,230.27
231.31,265.35
231.18,281.56
229.15,286.57
378.74,327.95
252.5,258.95
224.42,228.7
380.96,333.4
379.12,404.32
213.84,265.95
221.34,259.74
213.44,242.56
198.33,231.47
240.26,278.37
250.26,270.75
199.66,229.28
267.43,264.91
251.07,272.57
242.62,285.85
197.82,229.59
419.94,338.12
208.46,247.73
241.6,289.62
378.02,323.42
215.75,233.27
227.63,222.3
385.57,353.9
247.82,319.07
389.83,323.61
379.44,339.26
391.0,348.95
207.41,240.48
400.44,341.18
219.79,219.22
232.7,283.1
270.02,279.04
197.88,243.8
379.58,328.97
201.79,222.02
195.11,251.63
247.84,329.01
392.62,327.4
231.55,282.94
204.62,226.53
390.47,338.12
248.97,281.75
207.53,228.29
237.29,262.55
235.89,283.42
386.19,341.31
247.94,248.04
204.15,224.88
207.56,227.48
229.78,293.65
378.47,354.64
205.15,245.37
201.06,252.61
239.71,218.51
252.08,270.66
202.9,229.85
217.79,217.38
231.55,294.81
269.41,285.21
277.66,345.77
385.59,404.15
254.91,294.34
388.48,376.56
479.96,346.56
388.73,358.06
405.14,412.43
269.64,296.61
258.54,380.36
311.19,296.22
443.57,414.34
321.44,296.83
443.7,398.27
320.83,312.59
280.23,310.53
212.24,240.19
248.74,238.12
239.53,279.07
256.26,304.76
271.29,300.24
477.49,423.8
269.28,331.02
256.26,305.17
265.08,282.51
227.66,297.78
296.79,311.73
496.82,375.27
327.69,267.03
446.83,322.77
280.77,285.43
278.81,334.05
258.48,307.33
273.22,336.05
408.28,421.93
263.1,316.25
233.39,257.99
488.81,392.12
388.24,379.21
228.27,248.45
223.14,264.04
270.1,282.35
395.14,409.45
317.14,359.37
273.4,303.58
223.14,260.25
211.77,263.86
236.64,258.76
271.46,287.91
408.84,410.65
389.02,351.09
285.36,323.24
364.11,329.98
256.39,308.62
263.57,317.31
288.15,363.14
258.11,300.51
389.39,434.52
270.09,287.3
271.46,287.84
420.24,425.42
418.74,403.29
273.17,359.98
281.21,267.87
264.75,296.58
212.22,286.79
256.5,284.74
280.17,292.59
424.09,375.3
223.1,262.03
436.54,347.25
212.03,245.6
273.73,346.1
257.59,313.96
281.48,365.26
277.61,331.01
217.32,264.67
296.63,346.98
391.86,373.36
390.75,461.99
478.12,317.58
481.29,413.54
258.03,322.04
319.93,329.9
260.5,309.08
309.2,325.45
447.32,423.45
284.97,302.0
285.85,330.61
395.15,425.19
