train,valid,test
271.72,89.83,83.54
88.15,76.03,68.76
76.33,64.38,58.78
64.4,50.46,47.23
51.11,36.9,37.15
41.35,30.72,33.01
37.97,29.12,32.0
36.52,28.28,31.55
35.51,27.8,31.22
34.77,27.36,30.8
34.13,26.99,30.36
33.56,26.67,29.92
33.02,26.38,29.53
32.52,26.13,29.15
32.06,25.9,28.78
31.64,25.7,28.43
31.24,25.51,28.14
30.87,25.33,27.86
30.52,25.16,27.56
30.19,24.99,27.25
29.87,24.86,26.99
29.56,24.71,26.71
29.26,24.6,26.45
28.97,24.49,26.21
28.69,24.38,25.95
28.43,24.28,25.7
28.17,24.19,25.46
27.93,24.1,25.24
27.7,24.01,25.03
27.47,23.91,24.83
27.26,23.84,24.65
27.05,23.77,24.46
26.84,23.69,24.27
26.64,23.59,24.09
26.45,23.48,23.91
26.27,23.35,23.73
26.09,23.19,23.54
25.92,23.07,23.39
25.75,22.92,23.22
25.57,22.85,22.99
25.38,22.61,22.81
25.2,22.49,22.66
25.04,22.35,22.5
24.88,22.19,22.35
24.74,22.04,22.21
24.59,21.88,22.06
24.44,21.71,21.9
24.28,21.55,21.74
24.13,21.39,21.59
23.98,21.25,21.45
23.82,21.1,21.3
23.67,20.97,21.15
23.53,20.76,21.05
23.4,20.62,20.93
23.25,20.49,20.81
23.11,20.36,20.7
22.98,20.24,20.61
22.86,20.13,20.51
22.72,20.03,20.42
22.6,19.94,20.36
22.47,19.86,20.27
22.37,19.78,20.21
22.25,19.7,20.15
22.14,19.62,20.08
22.03,19.55,19.99
21.92,19.49,19.93
21.81,19.44,19.88
21.7,19.38,19.83
21.59,19.33,19.81
21.48,19.28,19.75
21.38,19.24,19.71
21.27,19.2,19.67
21.17,19.15,19.63
21.07,19.11,19.58
20.97,19.07,19.52
20.87,19.04,19.47
20.78,19.01,19.4
20.71,18.99,19.34
20.61,18.96,19.28
20.52,18.94,19.24
20.45,18.91,19.18
20.36,18.89,19.15
20.28,18.88,19.08
20.2,18.87,19.06
20.14,18.86,19.03
20.07,18.85,18.97
20.0,18.84,18.93
19.94,18.82,18.92
19.88,18.8,18.88
19.82,18.78,18.85
19.75,18.78,18.79
19.69,18.76,18.78
19.64,18.76,18.77
19.6,18.75,18.74
19.54,18.75,18.71
19.49,18.74,18.69
19.44,18.75,18.67
19.39,18.74,18.65
19.34,18.74,18.62
19.3,18.74,18.59
19.27,18.74,18.53
19.22,18.74,18.52
19.18,18.72,18.49
19.15,18.72,18.47
19.11,18.7,18.44
19.08,18.7,18.4
19.04,18.68,18.38
19.01,18.67,18.35
18.97,18.65,18.3
18.94,18.67,18.25
18.88,18.64,18.23
